@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.04,0.302,0.658,0.242,0.342,2
0.097,0.427,0.477,0.294,0.453,1
0.164,0.736,0.099,0.245,0.521,1
0.338,0.567,0.095,0.226,0.503,1
0.056,0.741,0.203,0.641,0.289,1
0.052,0.317,0.631,0.024,0.17,1
0.328,0.285,0.387,0.04,0.377,2
0.248,0.057,0.695,0.17,0.611,2
0.089,0.638,0.273,0.452,0.357,2
0.074,0.449,0.477,0.276,0.646,1
0.21,0.746,0.044,0.732,0.204,1
0.074,0.178,0.749,0.09,0.278,2
0.09,0.501,0.41,0.083,0.783,1
0.193,0.67,0.137,0.231,0.734,1
0.072,0.649,0.279,0.042,0.383,2
0.348,0.444,0.209,0.13,0.511,1
0.181,0.679,0.14,0.073,0.599,1
0.461,0.485,0.054,0.322,0.658,1
0.127,0.74,0.133,0.124,0.598,1
0.057,0.11,0.834,0.027,0.27,2
0.237,0.22,0.543,0.092,0.329,2
0.31,0.595,0.095,0.704,0.261,1
0.25,0.568,0.182,0.184,0.708,1
0.624,0.206,0.171,0.435,0.433,1
0.059,0.833,0.108,0.529,0.425,2
0.39,0.396,0.213,0.368,0.502,1
0.08,0.039,0.881,0.238,0.374,2
0.177,0.692,0.131,0.309,0.53,1
0.243,0.66,0.097,0.228,0.673,1
0.107,0.643,0.25,0.076,0.73,1
0.639,0.171,0.19,0.44,0.436,1
0.083,0.652,0.265,0.083,0.421,2
0.219,0.477,0.304,0.659,0.311,1
0.236,0.646,0.118,0.392,0.488,1
0.415,0.528,0.057,0.533,0.42,1
0.101,0.789,0.111,0.124,0.683,1
0.26,0.614,0.126,0.232,0.58,1
0.185,0.762,0.053,0.174,0.645,1
0.232,0.744,0.023,0.299,0.636,1
0.375,0.495,0.13,0.292,0.522,2
0.078,0.695,0.227,0.333,0.409,1
0.228,0.743,0.028,0.268,0.68,1
0.593,0.337,0.07,0.232,0.618,1
0.233,0.667,0.101,0.393,0.527,1
0.505,0.049,0.446,0.269,0.18,2
0.057,0.672,0.272,0.061,0.074,2
0.3,0.562,0.138,0.369,0.592,2
0.158,0.666,0.176,0.488,0.391,1
0.598,0.367,0.035,0.556,0.356,1
0.911,0.009,0.08,0.522,0.394,0
0.81,0.097,0.093,0.595,0.318,0
0.878,0.031,0.091,0.799,0.187,0
0.113,0.78,0.107,0.377,0.605,0
0.324,0.619,0.057,0.578,0.396,0
0.357,0.023,0.62,0.281,0.644,0
0.248,0.704,0.047,0.121,0.681,0
0.661,0.274,0.065,0.443,0.417,0
0.096,0.649,0.256,0.703,0.258,0
0.27,0.676,0.054,0.506,0.319,0
0.074,0.913,0.013,0.825,0.173,0
0.912,0.018,0.07,0.636,0.313,0
0.675,0.173,0.152,0.18,0.507,0
0.24,0.347,0.412,0.512,0.437,0
0.765,0.056,0.179,0.423,0.531,0
0.734,0.225,0.041,0.778,0.199,0
0.9,0.074,0.026,0.778,0.203,0
0.07,0.436,0.494,0.21,0.563,0
0.088,0.847,0.066,0.119,0.876,0
0.259,0.693,0.048,0.448,0.368,0
