@relation train_merge_svm

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute class {0,1,2}

@data
0.033,0.325,0.643,0.064,0.388,2
0.045,0.464,0.491,0.288,0.361,1
0.025,0.752,0.223,0.795,0.148,1
0.076,0.78,0.144,0.145,0.513,1
0.007,0.796,0.197,0.251,0.519,1
0.01,0.344,0.646,0.009,0.175,1
0.223,0.244,0.533,0.011,0.338,2
0.063,0.053,0.883,0.047,0.687,2
0.007,0.576,0.417,0.679,0.198,2
0.019,0.51,0.471,0.097,0.767,1
0.181,0.778,0.042,0.83,0.121,1
0.013,0.179,0.808,0.033,0.288,2
0.014,0.624,0.361,0.008,0.799,1
0.248,0.709,0.043,0.201,0.777,1
0.011,0.785,0.204,0.002,0.338,2
0.116,0.561,0.323,0.084,0.469,1
0.03,0.774,0.195,0.054,0.608,1
0.515,0.447,0.039,0.362,0.619,1
0.001,0.814,0.185,0.007,0.708,1
0.001,0.092,0.906,0.004,0.203,2
0.05,0.35,0.6,0.013,0.311,2
0.043,0.713,0.244,0.817,0.161,1
0.403,0.451,0.147,0.245,0.659,1
0.741,0.154,0.104,0.547,0.343,1
0.02,0.829,0.151,0.825,0.16,2
0.253,0.494,0.253,0.167,0.674,1
0.018,0.035,0.947,0.284,0.342,2
0.038,0.713,0.249,0.128,0.671,1
0.16,0.744,0.096,0.215,0.699,1
0.191,0.743,0.066,0.109,0.71,1
0.724,0.111,0.165,0.189,0.685,1
0.008,0.736,0.256,0.03,0.401,2
0.014,0.519,0.466,0.02,0.842,1
0.027,0.772,0.202,0.058,0.718,1
0.298,0.657,0.045,0.29,0.652,1
0.044,0.86,0.096,0.046,0.769,1
0.112,0.751,0.137,0.145,0.649,1
0.134,0.854,0.011,0.462,0.48,1
0.195,0.581,0.224,0.793,0.156,2
0.027,0.687,0.286,0.124,0.527,1
0.146,0.835,0.019,0.35,0.611,1
0.535,0.382,0.083,0.18,0.708,1
0.519,0.435,0.046,0.59,0.355,1
0.097,0.034,0.868,0.041,0.273,2
0.012,0.72,0.268,0.023,0.069,2
0.385,0.526,0.09,0.445,0.523,2
0.176,0.68,0.144,0.193,0.655,1
0.484,0.483,0.033,0.634,0.29,1
0.036,0.908,0.056,0.608,0.273,0
0.469,0.169,0.362,0.729,0.236,0
0.563,0.128,0.309,0.234,0.56,0
0.699,0.244,0.057,0.769,0.185,0
0.834,0.073,0.093,0.671,0.299,0
0.44,0.272,0.288,0.872,0.062,0
0.976,0.005,0.019,0.825,0.164,0
0.855,0.138,0.007,0.597,0.271,0
0.924,0.04,0.036,0.739,0.239,0
0.816,0.179,0.005,0.834,0.146,0
0.1,0.544,0.356,0.552,0.24,0
0.052,0.45,0.497,0.177,0.521,0
0.696,0.237,0.066,0.605,0.271,0
0.657,0.324,0.019,0.778,0.207,0
0.21,0.661,0.129,0.214,0.702,0
0.224,0.573,0.203,0.239,0.548,0
0.899,0.052,0.049,0.761,0.195,0
0.938,0.005,0.057,0.532,0.243,0
0.324,0.584,0.092,0.064,0.92,0
0.15,0.792,0.057,0.579,0.373,0
