@relation rabc_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute psy_feature1 numeric
@attribute psy_feature2 numeric
@attribute psy_feature3 numeric
@attribute psy_feature4 numeric
@attribute psy_feature5 numeric
@attribute psy_feature6 numeric
@attribute psy_feature7 numeric
@attribute psy_feature8 numeric
@attribute psy_feature9 numeric
@attribute psy_feature10 numeric
@attribute psy_feature11 numeric
@attribute psy_feature12 numeric
@attribute psy_feature13 numeric
@attribute psy_feature14 numeric
@attribute psy_feature15 numeric
@attribute psy_feature16 numeric
@attribute psy_feature17 numeric
@attribute psy_feature18 numeric
@attribute child_feature1 numeric
@attribute child_feature2 numeric
@attribute child_feature3 numeric
@attribute child_feature4 numeric
@attribute child_feature5 numeric
@attribute child_feature6 numeric
@attribute child_feature7 numeric
@attribute child_feature8 numeric
@attribute child_feature9 numeric
@attribute child_feature10 numeric
@attribute child_feature11 numeric
@attribute child_feature12 numeric
@attribute child_feature13 numeric
@attribute child_feature14 numeric
@attribute child_feature15 numeric
@attribute child_feature16 numeric
@attribute child_feature17 numeric
@attribute child_feature18 numeric
@attribute joint_feature1 numeric
@attribute joint_feature2 numeric
@attribute class {0,1,2}

@data

2,0.558416,-0.163256,0.508693,4.538522,-0.259879,0.148537,0.768846,6.216591,0.268117,-0.614154,0.129671,1.39136,-0.809051,-0.955682,0.119514,1.515617,-1.057085,1,0.166337,0.323755,0.029381,0.789438,0.347217,-0.390549,0.222493,1.546246,-0.121959,-0.699365,0.01973,0.468117,-0.753945,-0.051765,0.0005,0.1229,-0.043131,0.825032,0,0
8,0.312827,-0.006814,0.903421,3.969727,-0.016925,0.190993,1.247853,4.699921,0.412348,-0.096142,1.052744,4.678846,0.11596,0.140863,0.984855,4.934778,0.105895,3,0.042103,-0.168066,1.813846,4.053502,-0.516376,0.804738,0.842661,3.335081,1.323933,0.61879,1.274356,4.311854,0.325783,0.124305,0.158194,1.511002,0.041478,1.17582,2,0
12,0.180982,0.109875,1.033373,4.502463,-0.042897,-0.224153,0.830359,4.61666,-0.187321,0.580571,1.586234,6.987534,0.332289,0.543596,1.116679,7.031618,0.470296,2,0.014548,0.343169,0.049352,0.695496,0.230144,-0.514126,0.382213,1.931888,-0.43208,-0.677136,0.030999,0.545745,-0.65397,-0.194397,0.012175,0.429547,-0.208657,1.43849,1,1
2,0.258,0.89193,0.646854,2.593907,1.15855,-0.020359,0.987985,3.936262,0.299662,0.058169,0.208111,2.039164,0.074586,-0.043272,0.739304,3.205815,-0.311173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.140992,0,0
7,0.668058,-0.155943,0.949045,4.498704,-0.298175,-0.035323,0.722466,4.109007,0.153392,-0.286676,0.177246,1.834656,-0.253453,-0.423774,0.424651,3.746667,-0.402073,2,0.02352,-0.803823,1.498233,2.884808,-0.633642,-0.602765,0.484035,2.243855,-0.544566,0.263358,0.004633,0.283458,0.245803,0.148998,0.001514,0.139436,0.13885,0.914154,1,0
2,0.480737,0.011422,1.002206,4.491303,0.143255,0.808351,1.395671,8.770357,0.698818,0.545932,1.189447,3.183326,0.37893,0.445284,0.040403,0.867738,0.434748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975335,0,0
12,0.41218,-0.37783,1.268743,3.764708,-0.364794,0.386891,0.427182,4.345827,0.249111,0.152431,1.014889,5.728554,-0.211255,0.585096,0.360879,6.109507,0.575779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27201,0,0
8,0.093238,0.353406,0.975676,4.198062,0.154716,0.385095,0.506337,4.144403,0.209009,0.52884,0.773244,3.400503,0.207875,0.272588,0.472813,2.923894,0.203202,4,0.043238,0,1,3.010353,-0.075144,0.000001,1,5.910178,-0.043832,0,1,5.373507,-0.197954,0,0.031778,0.824889,0.00586,1.881823,1,1
2,0.275449,1.197869,0.32875,2.095023,1.240481,0.169464,1.092317,4.348279,0.438455,-0.453181,0.146703,1.803243,-0.649192,-0.688457,0.121175,2.151327,-0.738154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952728,0,0
7,0.679652,0.084986,0.38516,2.574422,0.055341,-0.811954,0.85444,5.221431,-0.7646,-0.911025,0.048689,2.323125,-0.935776,-1.449463,0.27777,4.366963,-1.355036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916928,0,0
